id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bentuk_kekerasan,jumlah_korban,satuan,tahun
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,FISIK,4,ORANG,2017
79,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PSIKIS,2,ORANG,2017
80,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SEKSUAL,0,ORANG,2017
81,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,EKSPLOITASI,0,ORANG,2017
82,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TRAFFICKING,0,ORANG,2017
83,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PENELANTARAN,0,ORANG,2017
84,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAINNYA,0,ORANG,2017
85,32,JAWA BARAT,3213,KABUPATEN SUBANG,FISIK,0,ORANG,2017
86,32,JAWA BARAT,3213,KABUPATEN SUBANG,PSIKIS,0,ORANG,2017
87,32,JAWA BARAT,3213,KABUPATEN SUBANG,SEKSUAL,5,ORANG,2017
88,32,JAWA BARAT,3213,KABUPATEN SUBANG,EKSPLOITASI,0,ORANG,2017
89,32,JAWA BARAT,3213,KABUPATEN SUBANG,TRAFFICKING,2,ORANG,2017
90,32,JAWA BARAT,3213,KABUPATEN SUBANG,PENELANTARAN,0,ORANG,2017
91,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAINNYA,0,ORANG,2017
92,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,FISIK,1,ORANG,2017
93,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PSIKIS,0,ORANG,2017
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SEKSUAL,0,ORANG,2017
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,EKSPLOITASI,0,ORANG,2017
96,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TRAFFICKING,0,ORANG,2017
97,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PENELANTARAN,0,ORANG,2017
98,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAINNYA,0,ORANG,2017
99,32,JAWA BARAT,3215,KABUPATEN KARAWANG,FISIK,1,ORANG,2017
100,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PSIKIS,0,ORANG,2017
101,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SEKSUAL,0,ORANG,2017
102,32,JAWA BARAT,3215,KABUPATEN KARAWANG,EKSPLOITASI,0,ORANG,2017
103,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TRAFFICKING,0,ORANG,2017
104,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PENELANTARAN,0,ORANG,2017
105,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAINNYA,0,ORANG,2017
106,32,JAWA BARAT,3216,KABUPATEN BEKASI,FISIK,1,ORANG,2017
107,32,JAWA BARAT,3216,KABUPATEN BEKASI,PSIKIS,1,ORANG,2017
108,32,JAWA BARAT,3216,KABUPATEN BEKASI,SEKSUAL,1,ORANG,2017
109,32,JAWA BARAT,3216,KABUPATEN BEKASI,EKSPLOITASI,0,ORANG,2017
110,32,JAWA BARAT,3216,KABUPATEN BEKASI,TRAFFICKING,0,ORANG,2017
111,32,JAWA BARAT,3216,KABUPATEN BEKASI,PENELANTARAN,1,ORANG,2017
112,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAINNYA,0,ORANG,2017
113,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,FISIK,0,ORANG,2017
114,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PSIKIS,0,ORANG,2017
115,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SEKSUAL,0,ORANG,2017
116,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,EKSPLOITASI,0,ORANG,2017
117,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TRAFFICKING,0,ORANG,2017
118,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PENELANTARAN,1,ORANG,2017
119,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAINNYA,0,ORANG,2017
120,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,FISIK,0,ORANG,2017
121,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PSIKIS,0,ORANG,2017
122,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SEKSUAL,21,ORANG,2017
123,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,EKSPLOITASI,0,ORANG,2017
124,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TRAFFICKING,0,ORANG,2017
125,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PENELANTARAN,0,ORANG,2017
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAINNYA,1,ORANG,2017
127,32,JAWA BARAT,3271,KOTA BOGOR,FISIK,1,ORANG,2017
128,32,JAWA BARAT,3271,KOTA BOGOR,PSIKIS,0,ORANG,2017
129,32,JAWA BARAT,3271,KOTA BOGOR,SEKSUAL,1,ORANG,2017
130,32,JAWA BARAT,3271,KOTA BOGOR,EKSPLOITASI,0,ORANG,2017
131,32,JAWA BARAT,3271,KOTA BOGOR,TRAFFICKING,0,ORANG,2017
